MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,3.0,80.0,11622,1.0,1.0,3.0,3.0,0.0,4.0,0.0,12.0,1.0,2.0,0.0,2.0,5,6,1961,1961,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,468.0,3.0,144.0,270.0,882.0,1.0,4.0,1.0,5.0,896,0,0,896,0.0,0.0,1,0,2,1,4.0,5,7.0,0,3.0,1.0,1961.0,3.0,1.0,730.0,5.0,5.0,2.0,140,0,0,0,120,0,3.0,2.0,1.0,0,6,2010,9.0,4.0
20,4.0,81.0,14267,1.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,6,6,1958,1958,3.0,1.0,14.0,15.0,1.0,108.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,923.0,6.0,0.0,406.0,1329.0,1.0,4.0,1.0,5.0,1329,0,0,1329,0.0,0.0,1,1,3,1,2.0,6,7.0,0,3.0,1.0,1958.0,3.0,1.0,312.0,5.0,5.0,2.0,393,36,0,0,0,0,3.0,4.0,0.0,12500,6,2010,9.0,4.0
60,4.0,74.0,13830,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,5,5,1997,1998,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,791.0,6.0,0.0,137.0,928.0,1.0,2.0,1.0,5.0,928,701,0,1629,0.0,0.0,2,1,3,1,4.0,6,7.0,1,5.0,1.0,1997.0,0.0,2.0,482.0,5.0,5.0,2.0,212,34,0,0,0,0,3.0,2.0,1.0,0,3,2010,9.0,4.0
60,4.0,78.0,9978,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,6,6,1998,1998,1.0,1.0,13.0,14.0,1.0,20.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,602.0,6.0,0.0,324.0,926.0,1.0,0.0,1.0,5.0,926,678,0,1604,0.0,0.0,2,1,3,1,2.0,7,7.0,1,2.0,1.0,1998.0,0.0,2.0,470.0,5.0,5.0,2.0,360,36,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
120,4.0,43.0,5005,1.0,1.0,0.0,1.0,0.0,4.0,0.0,22.0,2.0,2.0,4.0,2.0,8,5,1992,1992,1.0,1.0,6.0,6.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,0.0,263.0,6.0,0.0,1017.0,1280.0,1.0,0.0,1.0,5.0,1280,0,0,1280,0.0,0.0,2,0,2,1,2.0,5,7.0,0,3.0,1.0,1992.0,2.0,2.0,506.0,5.0,5.0,2.0,0,82,0,0,144,0,3.0,4.0,1.0,0,1,2010,9.0,4.0
60,4.0,75.0,10000,1.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,5.0,6,5,1993,1994,1.0,1.0,6.0,6.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,763.0,763.0,1.0,2.0,1.0,5.0,763,892,0,1655,0.0,0.0,2,1,3,1,4.0,7,7.0,1,5.0,1.0,1993.0,0.0,2.0,440.0,5.0,5.0,2.0,157,84,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
20,4.0,0.0,7980,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,2.0,6,7,1992,2007,1.0,1.0,6.0,6.0,2.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,0.0,935.0,6.0,0.0,233.0,1168.0,1.0,0.0,1.0,5.0,1187,0,0,1187,1.0,0.0,2,0,3,1,4.0,6,7.0,0,3.0,1.0,1992.0,0.0,2.0,420.0,5.0,5.0,2.0,483,21,0,0,0,0,3.0,0.0,3.0,500,3,2010,9.0,4.0
60,4.0,63.0,8402,1.0,1.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,6,5,1998,1998,1.0,1.0,13.0,14.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,789.0,789.0,1.0,2.0,1.0,5.0,789,676,0,1465,0.0,0.0,2,1,3,1,4.0,7,7.0,1,2.0,1.0,1998.0,0.0,2.0,393.0,5.0,5.0,2.0,0,75,0,0,0,0,3.0,4.0,1.0,0,5,2010,9.0,4.0
20,4.0,85.0,10176,1.0,1.0,3.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,2.0,7,5,1990,1990,1.0,1.0,6.0,6.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,637.0,6.0,0.0,663.0,1300.0,1.0,2.0,1.0,5.0,1341,0,0,1341,1.0,0.0,1,1,2,1,2.0,5,7.0,1,4.0,1.0,1990.0,3.0,2.0,506.0,5.0,5.0,2.0,192,0,0,0,0,0,3.0,4.0,1.0,0,2,2010,9.0,4.0
20,4.0,70.0,8400,1.0,1.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,4,5,1970,1970,1.0,1.0,10.0,11.0,2.0,0.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,804.0,5.0,78.0,0.0,882.0,1.0,4.0,1.0,5.0,882,0,0,882,1.0,0.0,1,0,2,1,4.0,4,7.0,0,3.0,1.0,1970.0,0.0,2.0,525.0,5.0,5.0,2.0,240,0,0,0,0,0,3.0,2.0,1.0,0,4,2010,9.0,4.0
120,3.0,26.0,5858,1.0,1.0,0.0,3.0,0.0,2.0,0.0,12.0,2.0,2.0,4.0,2.0,7,5,1999,1999,1.0,1.0,8.0,8.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,1051.0,1.0,0.0,354.0,1405.0,1.0,0.0,1.0,5.0,1337,0,0,1337,1.0,0.0,2,0,2,1,2.0,5,7.0,1,1.0,1.0,1999.0,0.0,2.0,511.0,5.0,5.0,2.0,203,68,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
160,5.0,21.0,1680,1.0,1.0,3.0,3.0,0.0,4.0,0.0,2.0,2.0,2.0,3.0,5.0,6,5,1971,1971,1.0,1.0,6.0,6.0,1.0,504.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,156.0,6.0,0.0,327.0,483.0,1.0,4.0,1.0,5.0,483,504,0,987,0.0,0.0,1,1,2,1,4.0,5,7.0,0,3.0,5.0,1971.0,3.0,1.0,264.0,5.0,5.0,2.0,275,0,0,0,0,0,3.0,4.0,1.0,0,2,2010,0.0,4.0
160,5.0,21.0,1680,1.0,1.0,3.0,3.0,0.0,4.0,0.0,2.0,2.0,2.0,3.0,5.0,5,5,1971,1971,1.0,1.0,6.0,6.0,1.0,492.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,300.0,6.0,0.0,225.0,525.0,1.0,4.0,1.0,5.0,525,567,0,1092,0.0,0.0,1,1,3,1,4.0,6,7.0,0,3.0,5.0,1997.0,3.0,1.0,320.0,5.0,5.0,2.0,0,0,0,0,0,0,3.0,4.0,1.0,0,3,2010,9.0,4.0
160,4.0,24.0,2280,1.0,1.0,3.0,3.0,0.0,2.0,0.0,13.0,2.0,2.0,3.0,5.0,6,6,1975,1975,1.0,1.0,10.0,2.0,2.0,0.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,514.0,6.0,0.0,341.0,855.0,1.0,4.0,1.0,5.0,855,601,0,1456,0.0,0.0,2,1,3,1,2.0,6,7.0,1,5.0,1.0,1975.0,3.0,2.0,440.0,5.0,5.0,2.0,173,0,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
120,4.0,24.0,2280,1.0,1.0,3.0,3.0,0.0,2.0,0.0,13.0,2.0,2.0,3.0,2.0,7,6,1975,1975,1.0,1.0,10.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,836.0,836.0,1.0,0.0,1.0,5.0,836,0,0,836,0.0,0.0,1,0,2,1,4.0,4,7.0,0,3.0,1.0,1975.0,3.0,1.0,308.0,5.0,5.0,2.0,0,30,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
60,4.0,102.0,12858,1.0,1.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,5.0,9,5,2009,2010,1.0,1.0,13.0,14.0,3.0,162.0,0.0,4.0,2.0,0.0,4.0,4.0,6.0,0.0,6.0,0.0,1590.0,1590.0,1.0,0.0,1.0,5.0,1627,707,0,2334,0.0,0.0,2,1,3,1,0.0,10,7.0,1,2.0,1.0,2009.0,0.0,3.0,751.0,5.0,5.0,2.0,144,133,0,0,0,0,3.0,4.0,1.0,0,1,2010,7.0,5.0
20,4.0,94.0,12883,1.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,2.0,8,5,2009,2010,1.0,1.0,13.0,14.0,3.0,256.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,0.0,6.0,0.0,1544.0,1544.0,1.0,0.0,1.0,5.0,1544,0,0,1544,0.0,0.0,2,0,3,1,2.0,7,7.0,0,3.0,1.0,2009.0,2.0,3.0,868.0,5.0,5.0,2.0,0,35,0,0,0,0,3.0,4.0,1.0,0,6,2010,7.0,5.0
20,4.0,90.0,11520,1.0,1.0,3.0,3.0,0.0,4.0,0.0,16.0,4.0,2.0,0.0,2.0,9,5,2005,2005,3.0,1.0,13.0,14.0,1.0,615.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,110.0,6.0,0.0,1588.0,1698.0,1.0,0.0,1.0,5.0,1698,0,0,1698,0.0,0.0,2,0,3,1,0.0,7,7.0,1,2.0,1.0,2005.0,0.0,3.0,730.0,5.0,5.0,2.0,192,74,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
20,4.0,79.0,14122,1.0,1.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,0.0,2.0,8,5,2005,2006,3.0,1.0,5.0,5.0,1.0,240.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,28.0,6.0,0.0,1794.0,1822.0,1.0,0.0,1.0,5.0,1822,0,0,1822,0.0,0.0,2,0,3,1,0.0,8,7.0,1,2.0,1.0,2005.0,2.0,3.0,678.0,5.0,5.0,2.0,0,119,0,0,0,0,3.0,4.0,1.0,0,2,2010,9.0,4.0
20,4.0,110.0,14300,1.0,1.0,3.0,1.0,0.0,4.0,1.0,16.0,2.0,2.0,0.0,2.0,9,5,2003,2004,3.0,1.0,13.0,14.0,1.0,1095.0,0.0,4.0,2.0,0.0,4.0,1.0,2.0,1373.0,6.0,0.0,1473.0,2846.0,1.0,0.0,1.0,5.0,2696,0,0,2696,1.0,0.0,2,1,3,1,0.0,10,7.0,2,2.0,1.0,2003.0,0.0,3.0,958.0,5.0,5.0,2.0,220,150,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
60,4.0,105.0,13650,1.0,1.0,3.0,3.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,5.0,8,5,2002,2002,1.0,1.0,13.0,14.0,1.0,232.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,578.0,6.0,0.0,1093.0,1671.0,1.0,0.0,1.0,5.0,1687,563,0,2250,1.0,0.0,2,1,3,1,2.0,7,7.0,1,0.0,1.0,2002.0,0.0,3.0,756.0,5.0,5.0,2.0,238,130,0,0,0,0,3.0,4.0,1.0,0,6,2010,9.0,4.0
120,4.0,41.0,7132,1.0,1.0,0.0,3.0,0.0,4.0,0.0,16.0,2.0,2.0,4.0,2.0,8,5,2006,2006,1.0,1.0,13.0,14.0,3.0,178.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,24.0,6.0,0.0,1346.0,1370.0,1.0,0.0,1.0,5.0,1370,0,0,1370,0.0,0.0,2,0,2,1,2.0,6,7.0,1,2.0,1.0,2006.0,2.0,2.0,484.0,5.0,5.0,2.0,120,49,0,0,0,0,3.0,4.0,1.0,0,4,2010,9.0,4.0
